Number of values; own hashmap; cpp hashmap
1;27000;4400
2;10400;5100
3;6700;4200
4;10900;5400
5;5300;3400
6;7900;9300
7;8900;3900
8;8900;3800
9;6600;3000
10;8300;3700
11;18700;3200
12;5300;2900
13;4900;2500
14;6900;4200
15;9400;4200
16;8600;3700
17;8200;4000
18;7900;3000
19;10400;3800
20;7100;2600
21;5100;2600
22;5600;2400
23;7500;3800
24;7700;2400
25;7200;3900
26;6200;2800
27;3800;2000
28;7900;2700
29;5700;1800
30;6500;2700
31;6100;2900
32;4400;2400
33;6400;9600
34;8000;2700
35;11000;3600
36;7500;3300
37;27100;2800
38;8600;3300
39;9100;4300
40;11900;4300
41;11600;4100
42;10200;3900
43;14900;4200
44;9100;3300
45;7500;3900
46;9400;3300
47;14600;4300
48;12800;6400
49;12900;4400
50;9800;4100
51;11700;5400
52;9600;3500
53;6000;2800
54;7200;3800
55;24400;3200
56;8000;2600
57;7600;3800
58;8400;2900
59;5400;2800
60;5100;2800
61;29900;2600
62;8400;3100
63;8100;4200
64;7800;2700
65;6900;2600
66;7700;3000
67;10500;3200
68;6500;2300
69;6900;2800
70;11500;4000
71;8300;2600
72;7900;2000
73;17300;4600
74;13900;4400
75;12500;3500
76;16400;3300
77;7200;2900
78;7800;2400
79;12800;3900
80;7400;3100
81;6000;2500
82;6100;3200
83;7600;3700
84;10800;2700
85;11800;3600
86;6100;2600
87;9400;2700
88;5900;2500
89;7000;61000
90;6400;2900
91;6800;2700
92;9000;2600
93;9200;3100
94;10200;3000
95;6300;2400
96;16000;3100
97;10800;3300
98;8700;3000
99;13900;3700
100;5000;2600
101;11100;3700
102;10100;3300
103;8300;2700
104;13700;2800
105;9600;2700
106;8500;3700
107;50400;4900
108;13200;4700
109;8300;3600
110;10000;4600
111;41200;4000
112;15900;4300
113;14200;4000
114;8800;4400
115;14100;3700
116;9800;3400
117;15100;4200
118;9100;3600
119;11100;3300
120;8500;2500
121;8200;2600
122;9100;3000
123;43900;5200
124;16600;3900
125;12400;5000
126;6700;3400
127;14900;3800
128;11000;3000
129;17600;3800
130;19100;5400
131;16400;3700
132;11700;3300
133;7300;2600
134;11200;3700
135;7600;2600
136;14700;3900
137;10400;3800
138;15200;3000
139;9900;2800
140;15400;3100
141;15900;3700
142;23900;4500
143;8100;2900
144;7700;2900
145;7800;15600
146;11100;2900
147;16300;3800
148;7100;3100
149;8800;2900
150;15200;2900
151;11100;3700
152;12300;3200
153;15200;3700
154;16500;3800
155;12700;2900
156;8200;2700
157;10300;3400
158;6400;2400
159;10300;2700
160;17900;3700
161;11000;3300
162;12500;2700
163;8400;2900
164;7900;2900
165;14400;4100
166;15000;4100
167;16400;3900
168;12200;3400
169;9700;3400
170;14200;3700
171;16800;3900
172;21100;4300
173;15100;4100
174;18500;3600
175;20100;4100
176;6200;3000
177;18500;5100
178;22000;5000
179;15400;4200
180;50300;5100
181;33800;3800
182;22800;4300
183;15200;3800
184;10800;2500
185;10500;3000
186;20600;4300
187;12000;3200
188;11000;3600
189;18300;4900
190;14500;3800
191;13700;3500
192;11600;2700
193;27000;4300
194;12800;4200
195;18200;4100
196;13800;3900
197;6400;3000
198;13200;2400
199;18300;4100
200;10300;2800
201;10500;14100
202;10300;2900
203;23000;4300
204;15200;3800
205;11300;4800
206;11000;2800
207;12000;3000
208;11400;4400
209;7900;3100
210;31200;2700
211;29200;4300
212;24400;3800
213;13700;3000
214;10100;2300
215;12700;4200
216;37400;4200
217;10200;3200
218;56400;3200
219;15900;2700
220;15300;4100
221;8800;3700
222;12500;3200
223;16900;3800
224;19900;3000
225;12500;1800
226;9700;2000
227;11000;1400
228;20000;4100
229;10400;3200
230;7200;2700
231;10500;1800
232;10500;2000
233;21000;4000
234;22500;4400
235;14300;3500
236;15600;4700
237;19300;4800
238;11900;3600
239;34100;3100
240;11100;2700
241;13800;2700
242;10900;3100
243;9500;2300
244;16200;4100
245;19200;3500
246;22600;4200
247;19100;2600
248;9500;3000
249;22800;4000
250;18200;3600
251;54000;3700
252;25200;4900
253;14800;3500
254;19000;3700
255;18500;2400
