Number of values; own linkedlist; cpp linkedlist
1;5900;2900
2;3900;2300
3;2900;1800
4;2400;1400
5;3600;2300
6;2700;1300
7;3600;1600
8;3300;1900
9;3800;2200
10;3200;2000
11;3700;2100
12;3800;2000
13;5900;2700
14;5400;2500
15;3300;1300
16;3800;1800
17;3800;1700
18;3700;2200
19;4100;2200
20;5100;2000
21;3100;2200
22;3200;2100
23;2500;1300
24;2400;1200
25;3100;1900
26;2200;1300
27;2800;1600
28;2100;1300
29;3600;2000
30;9800;1600
31;2800;1600
32;2000;1300
33;2000;1300
34;2600;1700
35;1700;1000
36;3100;1900
37;2600;1200
38;1000;500
39;2700;1600
40;2100;1000
41;2900;2000
42;3000;1700
43;1900;1200
44;1100;600
45;1300;500
46;2100;1100
47;2600;1200
48;1800;900
49;3400;1500
50;2000;1100
51;2600;1500
52;1300;900
53;900;500
54;1100;500
55;1500;1100
56;800;800
57;2100;1000
58;1800;1000
59;1300;800
60;1700;1100
61;1500;1000
62;800;1800
63;1200;500
64;900;600
65;900;600
66;900;800
67;2100;1400
68;1800;900
69;1200;1100
70;1500;700
71;1000;700
72;1000;600
73;1500;800
74;1100;700
75;1700;600
76;3400;1700
77;1600;1100
78;2900;1600
79;2300;1100
80;10800;1200
81;1300;600
82;1200;800
83;900;500
84;1100;900
85;3100;1500
86;2300;1500
87;2500;1400
88;3000;1600
89;3600;2300
90;2300;1600
91;2200;1500
92;3600;1600
93;3500;2500
94;4100;2500
95;5000;2200
96;6000;3400
97;3600;2100
98;2800;1300
99;3400;2000
100;2100;1400
101;900;700
102;1100;400
103;1200;700
104;1000;500
105;900;500
106;2300;1100
107;1700;900
108;1000;700
109;800;500
110;900;400
111;1500;700
112;900;500
113;1100;900
114;1100;700
115;2100;2100
116;2100;1200
117;2100;1200
118;1300;1300
119;4000;1800
120;2200;1400
121;2400;1500
122;1600;900
123;2300;1500
124;1300;800
125;1200;1900
126;1300;700
127;1300;700
128;1100;600
129;1100;1500
130;11600;1100
131;1200;800
132;1200;700
133;1400;500
134;4600;2600
135;4700;2200
136;2700;1700
137;7100;2900
138;2500;1500
139;2400;1400
140;3000;1900
141;1500;1100
142;900;900
143;1000;800
144;1800;1900
145;1100;19900
146;1700;1400
147;1300;800
148;1000;600
149;1100;800
150;900;700
151;1300;1000
152;900;700
153;1300;600
154;2300;1300
155;1800;1100
156;2900;1700
157;1700;1000
158;1200;700
159;800;500
160;2600;1100
161;3100;1900
162;2200;1300
163;2300;1600
164;3700;2200
165;4200;2500
166;2700;2000
167;3200;3000
168;6700;2400
169;3600;1900
170;1200;800
171;1400;900
172;1300;900
173;1200;1000
174;900;900
175;1400;600
176;1300;1200
177;1500;1000
178;5000;2300
179;2900;1500
180;16100;900
181;2900;1500
182;1200;700
183;2900;1600
184;2300;1700
185;3000;1200
186;2400;1300
187;3500;1600
188;1700;2700
189;3000;1600
190;1600;900
191;1000;900
192;1400;800
193;1700;1200
194;1300;800
195;1300;900
196;1500;1000
197;2000;1400
198;1300;1200
199;1800;1400
200;1800;900
201;1700;800
202;3300;2000
203;1900;1100
204;1300;800
205;1400;900
206;1100;500
207;2600;1500
208;1200;1100
209;900;600
210;1500;600
211;1600;700
212;2900;1700
213;2300;1200
214;2700;1200
215;1900;1200
216;2100;1300
217;1700;1000
218;2000;1300
219;1600;1000
220;1100;500
221;1000;600
222;2700;1200
223;1300;1200
224;2000;1200
225;1200;700
226;1100;600
227;1500;1000
228;1600;1800
229;4000;1700
230;2600;1700
231;1100;800
232;1100;700
233;3300;2200
234;2900;1300
235;1900;1500
236;2400;1500
237;3000;2000
238;2700;1400
239;3400;2200
240;4500;2400
241;5700;3100
242;2800;1700
243;2400;1400
244;3900;2000
245;4000;2000
246;3500;1700
247;3500;1800
248;3000;1800
249;3500;1500
250;3800;1900
251;2400;2800
252;1300;800
253;1000;700
254;1500;900
255;1600;900
